timestamp,x,y,z,roll,pitch,yaw,vx,vy,vz,vroll,vpitch,vyaw,linear_velocity,angular_velocity,linear_acceleration,angular_acceleration
2.32,5.71072,-0.362928,0,0,0,0,2.30144,1.64427,0,0,0,0,2.82847,0,2.40804,0
2.33,5.7342,-0.343815,0,0,0,0,2.31716,1.66404,0,0,0,0,2.85276,0,2.63318,0
2.34,5.7576,-0.32429,0,0,0,0,2.33604,1.68397,0,0,0,0,2.87973,0,2.8211,0
2.35,5.78095,-0.304405,0,0,0,0,2.35684,1.70415,0,0,0,0,2.90841,0,2.92416,0
2.36,5.8043,-0.284205,0,0,0,0,2.37816,1.72454,0,0,0,0,2.93763,0,2.91503,0
2.37,5.82767,-0.263732,0,0,0,0,2.39852,1.74492,0,0,0,0,2.96608,0,2.78383,0
2.38,5.85113,-0.243021,0,0,0,0,2.4165,1.76491,0,0,0,0,2.99239,0,2.53654,0
2.39,5.87471,-0.222099,0,0,0,0,2.43083,1.78403,0,0,0,0,3.01524,0,2.19514,0
2.4,5.89846,-0.200988,0,0,0,0,2.4405,1.80167,0,0,0,0,3.03349,0,1.80086,0
2.41,5.92239,-0.179709,0,0,0,0,2.44484,1.81721,0,0,0,0,3.04623,0,1.42508,0
2.42,5.94652,-0.158276,0,0,0,0,2.44355,1.83001,0,0,0,0,3.05285,0,1.18663,0
2.43,5.97085,-0.136706,0,0,0,0,2.43674,1.83951,0,0,0,0,3.05312,0,1.20415,0
2.44,5.99536,-0.115015,0,0,0,0,2.42492,1.84527,0,0,0,0,3.04717,0,1.43818,0
2.45,6.02002,-0.0932263,0,0,0,0,2.40896,1.84697,0,0,0,0,3.03552,0,1.74412,0
2.46,6.04479,-0.071365,0,0,0,0,2.39004,1.84453,0,0,0,0,3.01904,0,2.01985,0
